LogID,UserID,UserIP,Timestamp,DateTime,Event,ImageID,Type
320,1,127.0.0.1,1500453718,2017-07-19 10:41:58.205,page loaded,119,None
321,1,127.0.0.1,1500453737,2017-07-19 10:42:17.141,page loaded,126,None
322,1,127.0.0.1,1500453740,2017-07-19 10:42:20.249,page loaded,122,None
323,1,127.0.0.1,1500453741,2017-07-19 10:42:21.071,page loaded,127,None
324,1,127.0.0.1,1500453742,2017-07-19 10:42:22.529,page loaded,121,None
325,1,127.0.0.1,1500453751,2017-07-19 10:42:31.807,page loaded,57,None
326,1,127.0.0.1,1500453754,2017-07-19 10:42:34.388,page loaded,121,None
327,1,127.0.0.1,1500453755,2017-07-19 10:42:35.396,page loaded,120,None
328,1,127.0.0.1,1500453756,2017-07-19 10:42:36.363,page loaded,125,None
329,1,127.0.0.1,1500453783,2017-07-19 10:43:03.343,page loaded,119,None
330,1,127.0.0.1,1500453792,2017-07-19 10:43:12.004,page loaded,121,None
331,1,127.0.0.1,1500453799,2017-07-19 10:43:19.726,page loaded,122,None
332,1,127.0.0.1,1500453801,2017-07-19 10:43:21.338,page loaded,57,None
333,1,127.0.0.1,1500453802,2017-07-19 10:43:22.583,page loaded,57,None
334,1,127.0.0.1,1500453803,2017-07-19 10:43:23.469,page loaded,127,None
335,1,127.0.0.1,1500453915,2017-07-19 10:45:15.220,page loaded,119,None
336,1,127.0.0.1,1500453921,2017-07-19 10:45:21.273,page loaded,126,None
337,1,127.0.0.1,1500453923,2017-07-19 10:45:23.319,page loaded,130,None
338,1,127.0.0.1,1500453925,2017-07-19 10:45:25.491,page loaded,125,None
339,1,127.0.0.1,1500453927,2017-07-19 10:45:27.443,page loaded,131,None
340,1,127.0.0.1,1500453928,2017-07-19 10:45:28.432,page loaded,121,None
341,1,127.0.0.1,1500453953,2017-07-19 10:45:53.579,page loaded,119,None
342,1,127.0.0.1,1500453961,2017-07-19 10:46:01.671,page loaded,120,None
343,1,127.0.0.1,1500453964,2017-07-19 10:46:04.757,page loaded,127,None
344,1,127.0.0.1,1500453969,2017-07-19 10:46:09.929,page loaded,132,None
